عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی
دادگاه در,640,450,action,ورود به دادگاه (0.78),واژه‌ی جدید
ثانیاً,591,450,object,تبصره (0.62),واژه‌ی جدید
دیگری,659,449,role,ثالث (0.64),واژه‌ی جدید
عادی,1072,449,concept,شخص طبیعی (0.59),واژه‌ی جدید
سایر,679,448,concept,خارج از موضوع (0.63),واژه‌ی جدید
انتقال,1454,448,action,نقل (0.82),واژه‌ی جدید
می‌باشد,1231,446,concept,قانونی بودن (0.65),واژه‌ی جدید
میلیون ریال,927,445,object,واحد پول (0.67),واژه‌ی جدید
به مبلغ,751,444,action,پرداخت (0.71),واژه‌ی جدید
الذکر,612,444,action,یادآوری (0.74),واژه‌ی جدید
ندانسته,509,442,concept,غیرمستند (0.61),واژه‌ی جدید
می دهد,586,441,role,وام‌دهنده (0.69),واژه‌ی جدید
لیکن,614,441,role,ولی (0.73),واژه‌ی جدید
دعوای,991,440,concept,کشمکش حقوقی (0.79),واژه‌ی جدید
دارای,685,439,concept,برخورداری (0.70),واژه‌ی جدید
بوده که,596,439,concept,ملزم بودن (0.62),واژه‌ی جدید
تجدیدنظرخواه به,516,439,concept,تجدیدنظر (0.84),واژه‌ی جدید
آئین,591,439,object,آئین نامه (0.82),واژه‌ی جدید
تاریخ بالا,448,438,action,تقویم (0.62),واژه‌ی جدید
مشاوره نموده,446,438,action,مشاوره (0.83),واژه‌ی جدید
علیه,880,438,concept,ضد حقوق بشر (0.77),واژه‌ی جدید
خصوص تجدیدنظرخواهی,455,438,concept,تجدیدنظر (0.80),واژه‌ی جدید
مستند,656,437,object,مستندات (0.76),واژه‌ی جدید
بخواسته,561,436,action,واخواست (0.68),واژه‌ی جدید
من,1904,434,concept,منقص (0.64),واژه‌ی جدید
اقامه,624,434,action,اقاله (0.83),واژه‌ی جدید
خارج,687,434,concept,خارج از قلمرو (0.76),واژه‌ی جدید
مندرجات,544,434,action,طبقه‌بندی (0.65),واژه‌ی جدید
نه,711,433,action,نفی (0.68),واژه‌ی جدید
پرونده کلاسه,601,432,object,پرونده (0.80),واژه‌ی جدید
قبول,771,431,action,پذیرش (0.87),واژه‌ی جدید
وکالت از,651,430,concept,وکالت (0.79),واژه‌ی جدید
کارشناس,1124,428,role,مشاور (0.74),واژه‌ی جدید
تحت,666,428,action,زیر پای حقوق (0.73),واژه‌ی جدید
ردیف,1884,428,action,رد (0.71),واژه‌ی جدید
همچنین,679,428,role,مضمون (0.59),واژه‌ی جدید
اعاده,982,427,action,اعاده اعتبار (0.84),واژه‌ی جدید
داده است,657,427,concept,شخص (0.67),واژه‌ی جدید
موارد,691,427,object,نمونه (0.68),واژه‌ی جدید
مربوط به,600,425,concept,خارج از موضوع (0.69),واژه‌ی جدید
آئین دادرسی,557,423,concept,آیین دادرسی (0.93),alias پیشنهادی برای «آیین دادرسی»
دادخواستی,484,421,object,دادخواست (0.92),alias پیشنهادی برای «دادخواست»
امکان,933,421,action,پیشنهاد (0.70),واژه‌ی جدید
ممیز,470,420,concept,تمایز (0.67),واژه‌ی جدید
دادگاههای,583,419,role,دیوان عدالت اداری (0.74),واژه‌ی جدید
بعد از,825,419,principle,طبق قانون (0.65),واژه‌ی جدید
استفاده,690,418,action,استعمال (0.95),alias پیشنهادی برای «استعمال»
شرعی,596,418,principle,شرع (0.72),واژه‌ی جدید
از جمله,545,418,principle,لحاظ (0.64),واژه‌ی جدید
قرار رد,651,417,action,قرار (0.74),واژه‌ی جدید
یکی,585,417,concept,شخص (0.70),واژه‌ی جدید
خوانده در,558,417,role,محکوم‌علیه (0.61),واژه‌ی جدید
شهرستان,784,416,principle,محیط (0.63),واژه‌ی جدید
اعتبار,644,416,action,اعاده اعتبار (0.74),واژه‌ی جدید
تومان,1112,415,object,واحد پول (0.66),واژه‌ی جدید
دادنامه معترض,487,414,action,اعتراض (0.75),واژه‌ی جدید
زندگی مشترک,1152,412,concept,ازدواج (0.75),واژه‌ی جدید
وقت,833,412,concept,ضیق وقت (0.71),واژه‌ی جدید
دریافت,767,412,action,وصول (0.81),واژه‌ی جدید
فلذا,549,411,concept,سبب (0.59),واژه‌ی جدید
ابراز,508,410,action,خوداظهاری (0.76),واژه‌ی جدید
دادگاه دعوی,436,410,concept,دعوی (0.87),واژه‌ی جدید
معترض عنه,506,409,action,اعتراض (0.82),واژه‌ی جدید
مالی,799,408,concept,مالیت (0.81),واژه‌ی جدید
منطبق,467,408,object,منقول (0.72),واژه‌ی جدید
مرجع,640,408,role,مرجع قضائی (0.71),واژه‌ی جدید
ادامه,697,408,concept,خارج از موضوع (0.68),واژه‌ی جدید
عضو ممیز,453,407,concept,رکن دعوی (0.64),واژه‌ی جدید
را فراهم,426,407,concept,ایجاد تعهد (0.68),واژه‌ی جدید
مستشار دادگاه,418,407,role,رئیس دادگاه (0.71),واژه‌ی جدید
محاکم محترم,434,407,action,محاکمه (0.74),واژه‌ی جدید
مبادرت,649,406,concept,اجرت (0.62),واژه‌ی جدید
تشکیل گردید,419,405,action,تأسیس (0.68),واژه‌ی جدید
اعلام نموده,606,404,object,اعلامیه حراج (0.67),واژه‌ی جدید
به رد,572,404,action,رد (0.86),واژه‌ی جدید
قبل از,670,404,concept,پیش‌فروش (0.65),واژه‌ی جدید
محکومیت خوانده,508,403,concept,محکومیت (0.87),واژه‌ی جدید
دادگاه خانواده,542,401,object,قانون خانواده (0.78),واژه‌ی جدید
تجدیدنظرخواسته را,461,400,concept,تجدیدنظر (0.83),واژه‌ی جدید
می‌نماید,790,400,role,موصی له (0.67),واژه‌ی جدید
که موجبات,409,399,concept,سبب (0.76),واژه‌ی جدید
فی,696,399,role,مضمون (0.60),واژه‌ی جدید
در مقام,559,397,role,مقام (0.79),واژه‌ی جدید
دعوی مطروحه,507,395,action,اقامه دعوی (0.84),واژه‌ی جدید
وقوع,678,394,concept,وقوع جرم (0.86),واژه‌ی جدید
جهت رسیدگی,580,394,action,رسیدگی (0.88),alias پیشنهادی برای «رسیدگی»
موازین قانونی,430,393,concept,فضای قانونی (0.68),واژه‌ی جدید
صادر می,512,393,role,صادرکننده (0.75),واژه‌ی جدید
تجدیدنظر خواسته,596,393,concept,تجدیدنظر (0.85),واژه‌ی جدید
بدین,509,392,object,دیه (0.63),واژه‌ی جدید
شعبه ارجاع,415,390,action,ارجاع (0.84),واژه‌ی جدید
اقدام به,620,388,action,تصرف (0.75),واژه‌ی جدید
ابطال,1273,388,role,مبطل (0.67),واژه‌ی جدید
خواسته خواهان,474,387,object,طلب (0.79),واژه‌ی جدید
صرف,492,386,principle,لحاظ (0.68),واژه‌ی جدید
قابلیت,517,383,concept,قابلیت اجرایی (0.81),واژه‌ی جدید
قانون آئین,492,383,object,آئین نامه (0.74),واژه‌ی جدید
این امر,538,382,object,قضیه (0.61),واژه‌ی جدید
نموده اند,641,381,action,تصرف (0.63),واژه‌ی جدید
دارم,791,381,action,گرفتن (0.67),واژه‌ی جدید
اینکه در,470,380,principle,طبق قانون (0.66),واژه‌ی جدید
به دیوان,424,380,concept,به‌محکومیت (0.66),واژه‌ی جدید
به صدور,556,380,action,صادر کردن حکم (0.72),واژه‌ی جدید
ننموده است,453,380,concept,غیرمستند (0.62),واژه‌ی جدید
الوکاله,609,379,object,حق‌الوکاله (0.85),واژه‌ی جدید
یکی از,510,377,concept,شخص (0.61),واژه‌ی جدید
طرفی,469,377,role,بی‌طرف (0.74),واژه‌ی جدید
کننده,502,377,role,وام‌دهنده (0.74),واژه‌ی جدید
مبادرت به,604,376,object,موصى به (0.65),واژه‌ی جدید
نموده چنین,376,375,principle,لحاظ (0.60),واژه‌ی جدید
دادگاه بدوی,598,375,object,شعبه دادگاه (0.66),واژه‌ی جدید
احتساب,487,374,object,مالیات (0.70),واژه‌ی جدید
که خواهان,434,374,role,اصحاب دعوی (0.71),واژه‌ی جدید
وصف,543,374,role,مضمون (0.67),واژه‌ی جدید
خواسته صدور,411,374,object,طلب (0.73),واژه‌ی جدید
مستندا به,511,372,principle,طبق قانون (0.75),واژه‌ی جدید
به شعبه,616,372,object,شعبه دادگاه (0.72),واژه‌ی جدید
موجبات نقض,377,372,action,نقض (0.77),واژه‌ی جدید
تحویل,1065,372,action,تحویل حکم (0.84),واژه‌ی جدید
آنان,676,372,role,اهل (0.62),واژه‌ی جدید
ناشی,615,371,concept,سبب (0.71),واژه‌ی جدید
معرفی,750,371,action,پیشنهاد (0.77),واژه‌ی جدید
دادگاههای عمومی,495,370,principle,حقوق عمومی (0.75),واژه‌ی جدید
وکلای,752,369,role,وکیل (0.79),واژه‌ی جدید
اشکال,403,367,concept,نقص (0.70),واژه‌ی جدید
در زمان,610,365,principle,طبق قانون (0.70),واژه‌ی جدید
نداده,429,365,concept,نبود صلاحیت (0.67),واژه‌ی جدید
خانواده تهران,527,365,concept,رابطه خانوادگی (0.63),واژه‌ی جدید
دادگاه حقوقی,471,364,object,بنیاد حقوقی (0.77),واژه‌ی جدید
نظر استان,441,362,concept,نظر دادگاه (0.69),واژه‌ی جدید
وکیل خوانده,580,362,role,وکیل (0.76),واژه‌ی جدید
گونه,492,361,concept,نوع جرم (0.64),واژه‌ی جدید
قید,541,361,action,وضع قید (0.83),واژه‌ی جدید
سوم,705,361,role,ثالث (0.77),واژه‌ی جدید
ریال بابت,743,359,principle,لحاظ (0.61),واژه‌ی جدید
قانون آیین,464,359,concept,آیین دادرسی (0.68),واژه‌ی جدید
شعبه محترم,423,359,object,شعبه دادگاه (0.73),واژه‌ی جدید
فوق الذکر,477,358,concept,خارج از موضوع (0.68),واژه‌ی جدید
موجود در,402,357,concept,شخص (0.66),واژه‌ی جدید
این رای,419,357,object,رأی (0.78),واژه‌ی جدید
ناشی از,578,356,concept,سبب (0.78),واژه‌ی جدید
اظهار داشته,843,355,object,اظهارنامه (0.76),واژه‌ی جدید
فرجام خواهی,831,355,action,فرجام (0.73),واژه‌ی جدید
از طرف,565,354,principle,طبق قانون (0.72),واژه‌ی جدید
کار,691,353,role,کارمند (0.71),واژه‌ی جدید
استناد مواد,394,353,object,مستندات (0.67),واژه‌ی جدید
مراجعه,571,353,action,رجوع (0.79),واژه‌ی جدید
راجع,555,352,action,رجوع (0.75),واژه‌ی جدید
مهریه,1677,351,object,ارثیه (0.68),واژه‌ی جدید
از طرفی,433,351,role,بی‌طرف (0.72),واژه‌ی جدید
ما,615,351,concept,تعریف (0.65),واژه‌ی جدید
انضمام,497,350,principle,شمولیت (0.81),واژه‌ی جدید
ان,1546,349,object,اعیان (0.65),واژه‌ی جدید
با احتساب,439,349,principle,طبق قانون (0.75),واژه‌ی جدید
کارشناسی,788,349,concept,نظریه کارشناسی (0.81),واژه‌ی جدید
تأیید می,364,349,action,تأیید (0.91),alias پیشنهادی برای «تأیید»
قابل اعتراض,383,348,concept,حق اعتراض (0.82),واژه‌ی جدید
دادرسی دادگاههای,458,348,concept,دادرسی (0.84),واژه‌ی جدید
کشور ارسال,373,348,action,نقل (0.62),واژه‌ی جدید
راجع به,544,347,concept,خارج از موضوع (0.70),واژه‌ی جدید
به نظر,422,347,role,صاحب‌نظر (0.72),واژه‌ی جدید
دادنامه تجدیدنظر,490,347,action,تجدید دادرسی (0.79),واژه‌ی جدید
هنگام,423,346,action,طی آگهی (0.67),واژه‌ی جدید
حکایت,447,346,action,ذکر (0.68),واژه‌ی جدید
وکالت خانم,492,345,concept,وکالت (0.73),واژه‌ی جدید
دادرس,387,345,concept,دادرسی (0.86),واژه‌ی جدید
تجدیدنظر در,375,345,concept,تجدیدنظر (0.95),alias پیشنهادی برای «تجدیدنظر»
به نام,619,345,object,نام (0.83),واژه‌ی جدید
شش,598,345,concept,خمس (0.62),واژه‌ی جدید
وارد تشخیص,404,344,action,ورود اطلاعات (0.68),واژه‌ی جدید
نمایند,484,344,role,نماینده (0.81),واژه‌ی جدید
اعمال,642,344,action,تصرف (0.69),واژه‌ی جدید
تلقی,462,343,principle,لحاظ (0.66),واژه‌ی جدید
بلکه,427,343,principle,لحاظ (0.62),واژه‌ی جدید
خواهد بود,449,342,action,پیش‌گویی (0.60),واژه‌ی جدید
مانحن,411,341,concept,منقص (0.60),واژه‌ی جدید
به انضمام,475,340,action,پیوست (0.71),واژه‌ی جدید
استنادی,509,338,action,ارجاع (0.71),واژه‌ی جدید
به خوانده,509,338,role,مخاطب (0.63),واژه‌ی جدید
اقای,1722,337,role,صاحب‌حق (0.69),واژه‌ی جدید
داشته است,530,336,concept,شخص (0.71),واژه‌ی جدید
قواعد,383,336,principle,قوانین (0.80),واژه‌ی جدید
خویش,546,336,action,خوداظهاری (0.67),واژه‌ی جدید
طریق,483,336,principle,لحاظ (0.59),واژه‌ی جدید
یاد,534,335,action,یادآوری (0.78),واژه‌ی جدید
می تواند,432,335,concept,مظنه (0.65),واژه‌ی جدید
به خواهان,464,334,object,طلب (0.71),واژه‌ی جدید
بر اینکه,415,334,principle,طبق قانون (0.67),واژه‌ی جدید
کیفری,1014,333,concept,کیفر (0.85),واژه‌ی جدید
باب,540,333,concept,سب (0.60),واژه‌ی جدید
مکلف,411,332,role,مكفول (0.71),واژه‌ی جدید
چند,443,332,concept,عده (0.73),واژه‌ی جدید
قضایی,516,331,principle,قضائی (0.81),واژه‌ی جدید
دلیلی بر,383,331,object,دلایل توجیهی (0.83),واژه‌ی جدید
قرار گرفته,463,330,action,وضع (0.72),واژه‌ی جدید
بر محکومیت,420,330,concept,به‌محکومیت (0.92),alias پیشنهادی برای «به‌محکومیت»
